time,x,y,z,shot
2926288923,341,559,-750,Backhand Drive
2926288933,309,658,-780,Backhand Drive
2926288943,244,647,-826,Backhand Drive
2926288953,489,289,-1055,Backhand Drive
2926288963,588,187,-913,Backhand Drive
2926288973,604,221,-848,Backhand Drive
2926288983,482,281,-866,Backhand Drive
2926288993,546,320,-868,Backhand Drive
2926289003,587,356,-849,Backhand Drive
2926289013,1380,-809,-770,Backhand Drive
2926289023,439,844,-723,Backhand Drive
2926289033,-608,535,-713,Backhand Drive
2926289043,626,208,-660,Backhand Drive
2926289053,726,507,-662,Backhand Drive
2926289063,473,622,-727,Backhand Drive
2926289073,514,493,-718,Backhand Drive
2926289083,369,373,-711,Backhand Drive
2926289093,378,326,-739,Backhand Drive
2926289103,451,369,-765,Backhand Drive
2926289113,402,486,-763,Backhand Drive
2926289123,363,539,-758,Backhand Drive
2926289133,381,498,-744,Backhand Drive
2926289143,396,466,-753,Backhand Drive
2926289153,395,445,-751,Backhand Drive
2926289163,402,425,-755,Backhand Drive
2926289179,413,426,-767,Backhand Drive
2926289189,413,429,-767,Backhand Drive
2926289199,411,403,-749,Backhand Drive
2926289209,428,373,-739,Backhand Drive
2926289219,432,398,-723,Backhand Drive
2926289229,429,433,-709,Backhand Drive
2926289239,447,451,-715,Backhand Drive
2926289249,457,427,-706,Backhand Drive
2926289259,465,440,-709,Backhand Drive
2926289269,443,442,-725,Backhand Drive
2926289279,431,442,-745,Backhand Drive
2926289289,420,453,-770,Backhand Drive
2926289299,413,439,-777,Backhand Drive
2926289309,420,434,-780,Backhand Drive
2926289319,411,428,-778,Backhand Drive
2926289329,413,406,-771,Backhand Drive
2926289339,399,406,-747,Backhand Drive
2926289349,390,420,-736,Backhand Drive
2926289359,388,405,-712,Backhand Drive
2926289369,394,396,-701,Backhand Drive
2926289379,399,392,-696,Backhand Drive
2926289389,388,402,-657,Backhand Drive
2926289399,380,387,-659,Backhand Drive
2926289409,349,374,-613,Backhand Drive
2926289419,342,345,-598,Backhand Drive
2926289429,312,349,-558,Backhand Drive
2926289439,288,319,-531,Backhand Drive
2926289449,283,322,-504,Backhand Drive
2926289459,281,338,-500,Backhand Drive
2926289469,280,338,-501,Backhand Drive
2926289479,252,344,-485,Backhand Drive
2926289489,222,333,-488,Backhand Drive
2926289499,201,344,-493,Backhand Drive
2926289509,178,371,-499,Backhand Drive
2926289519,171,369,-510,Backhand Drive
2926289529,202,371,-519,Backhand Drive
2926289539,277,374,-533,Backhand Drive
2926289549,326,399,-539,Backhand Drive
2926289559,327,426,-522,Backhand Drive
2926289569,304,479,-523,Backhand Drive
2926289579,269,570,-541,Backhand Drive
2926289589,232,684,-639,Backhand Drive
2926289599,221,748,-617,Backhand Drive
2926289609,228,758,-652,Backhand Drive
2926289619,294,746,-656,Backhand Drive
2926289629,364,687,-653,Backhand Drive
2926289639,380,685,-657,Backhand Drive
2926289649,342,726,-675,Backhand Drive
2926289659,312,749,-653,Backhand Drive
2926289669,285,787,-635,Backhand Drive
2926289683,251,862,-647,Backhand Drive
2926289693,212,912,-617,Backhand Drive
2926289703,218,862,-567,Backhand Drive
2926289713,242,818,-569,Backhand Drive
2926289723,321,750,-562,Backhand Drive
2926289733,386,754,-556,Backhand Drive
2926289743,381,812,-554,Backhand Drive
2926289753,367,897,-600,Backhand Drive
2926289763,347,941,-631,Backhand Drive
2926289773,320,971,-620,Backhand Drive
2926289783,287,998,-583,Backhand Drive
2926289793,285,956,-557,Backhand Drive
2926289803,292,851,-550,Backhand Drive
2926289813,283,824,-532,Backhand Drive
2926289823,271,842,-553,Backhand Drive
2926289833,268,872,-556,Backhand Drive
2926289843,286,891,-581,Backhand Drive
2926289853,287,920,-583,Backhand Drive
2926289863,280,997,-556,Backhand Drive
2926289873,261,1062,-547,Backhand Drive
2926289883,244,1040,-523,Backhand Drive
2926289893,267,988,-498,Backhand Drive
2926289903,270,953,-491,Backhand Drive
2926289913,242,981,-483,Backhand Drive
2926289923,254,975,-474,Backhand Drive
2926289933,263,923,-471,Backhand Drive
2926289943,258,889,-456,Backhand Drive
2926289953,256,905,-419,Backhand Drive
2926289963,250,885,-394,Backhand Drive
2926289973,251,892,-395,Backhand Drive
2926289983,255,911,-370,Backhand Drive
2926289993,228,918,-322,Backhand Drive
2926290003,243,894,-310,Backhand Drive
2926290013,263,870,-296,Backhand Drive
2926290023,255,860,-307,Backhand Drive
2926290033,248,879,-321,Backhand Drive
2926290043,248,890,-318,Backhand Drive
2926290053,250,852,-288,Backhand Drive
2926290063,240,851,-274,Backhand Drive
2926290073,245,892,-234,Backhand Drive
2926290083,231,913,-267,Backhand Drive
2926290093,235,997,-242,Backhand Drive
2926290103,229,1011,-228,Backhand Drive
2926290113,239,951,-213,Backhand Drive
