time,x,y,z,shot
2927625195,638,300,-562,Forehand Drive Volley
2927625205,625,356,-582,Forehand Drive Volley
2927625215,645,330,-564,Forehand Drive Volley
2927625225,642,397,-593,Forehand Drive Volley
2927625235,576,415,-612,Forehand Drive Volley
2927625245,563,382,-639,Forehand Drive Volley
2927625255,656,327,-670,Forehand Drive Volley
2927625265,691,321,-704,Forehand Drive Volley
2927625275,743,379,-707,Forehand Drive Volley
2927625285,777,335,-703,Forehand Drive Volley
2927625295,758,408,-698,Forehand Drive Volley
2927625305,722,379,-687,Forehand Drive Volley
2927625315,667,328,-689,Forehand Drive Volley
2927625325,530,336,-719,Forehand Drive Volley
2927625335,513,390,-595,Forehand Drive Volley
2927625345,494,428,-649,Forehand Drive Volley
2927625355,596,124,-728,Forehand Drive Volley
2927625365,525,-197,17,Forehand Drive Volley
2927625375,39,299,-1129,Forehand Drive Volley
2927625385,468,891,-653,Forehand Drive Volley
2927625395,979,428,-677,Forehand Drive Volley
2927625405,1089,350,-684,Forehand Drive Volley
2927625415,929,564,-725,Forehand Drive Volley
2927625425,722,478,-683,Forehand Drive Volley
2927625435,583,305,-575,Forehand Drive Volley
2927625445,520,327,-506,Forehand Drive Volley
2927625455,536,375,-530,Forehand Drive Volley
2927625465,607,387,-571,Forehand Drive Volley
2927625475,689,417,-588,Forehand Drive Volley
2927625485,722,425,-588,Forehand Drive Volley
2927625495,697,392,-586,Forehand Drive Volley
2927625505,653,384,-562,Forehand Drive Volley
2927625515,636,391,-542,Forehand Drive Volley
2927625525,650,391,-553,Forehand Drive Volley
2927625535,671,398,-557,Forehand Drive Volley
2927625545,690,403,-580,Forehand Drive Volley
2927625555,683,402,-589,Forehand Drive Volley
2927625565,665,399,-596,Forehand Drive Volley
2927625575,652,413,-593,Forehand Drive Volley
2927625585,650,412,-594,Forehand Drive Volley
2927625595,665,402,-608,Forehand Drive Volley
2927625605,666,412,-625,Forehand Drive Volley
2927625615,663,416,-640,Forehand Drive Volley
2927625625,656,415,-630,Forehand Drive Volley
2927625635,643,419,-635,Forehand Drive Volley
2927625645,634,413,-622,Forehand Drive Volley
2927625655,641,401,-615,Forehand Drive Volley
2927625665,654,399,-621,Forehand Drive Volley
2927625675,650,413,-614,Forehand Drive Volley
2927625685,656,421,-625,Forehand Drive Volley
2927625699,651,424,-618,Forehand Drive Volley
2927625709,640,424,-620,Forehand Drive Volley
2927625719,625,429,-612,Forehand Drive Volley
2927625729,622,434,-608,Forehand Drive Volley
2927625739,618,434,-594,Forehand Drive Volley
2927625749,631,420,-604,Forehand Drive Volley
2927625759,636,412,-586,Forehand Drive Volley
2927625769,636,403,-588,Forehand Drive Volley
2927625779,625,420,-594,Forehand Drive Volley
2927625789,615,425,-619,Forehand Drive Volley
2927625799,608,416,-614,Forehand Drive Volley
2927625809,601,403,-615,Forehand Drive Volley
2927625819,595,400,-606,Forehand Drive Volley
2927625829,586,408,-593,Forehand Drive Volley
2927625839,593,405,-575,Forehand Drive Volley
2927625849,604,400,-555,Forehand Drive Volley
2927625859,617,395,-550,Forehand Drive Volley
2927625869,623,387,-533,Forehand Drive Volley
2927625879,623,359,-545,Forehand Drive Volley
2927625889,616,354,-535,Forehand Drive Volley
2927625899,603,337,-540,Forehand Drive Volley
2927625909,573,327,-499,Forehand Drive Volley
2927625919,559,295,-501,Forehand Drive Volley
2927625929,540,263,-483,Forehand Drive Volley
2927625939,501,252,-426,Forehand Drive Volley
2927625949,457,237,-391,Forehand Drive Volley
2927625959,426,241,-353,Forehand Drive Volley
2927625969,373,259,-381,Forehand Drive Volley
2927625979,345,271,-339,Forehand Drive Volley
2927625989,333,255,-385,Forehand Drive Volley
2927625999,342,293,-404,Forehand Drive Volley
2927626009,325,331,-431,Forehand Drive Volley
2927626019,298,328,-455,Forehand Drive Volley
2927626029,277,288,-419,Forehand Drive Volley
2927626039,259,273,-407,Forehand Drive Volley
2927626049,189,342,-456,Forehand Drive Volley
2927626059,150,412,-525,Forehand Drive Volley
2927626069,185,455,-541,Forehand Drive Volley
2927626079,228,478,-526,Forehand Drive Volley
2927626089,262,498,-526,Forehand Drive Volley
2927626099,239,607,-520,Forehand Drive Volley
2927626109,231,770,-510,Forehand Drive Volley
2927626119,222,957,-506,Forehand Drive Volley
2927626129,196,1094,-548,Forehand Drive Volley
2927626139,185,1106,-543,Forehand Drive Volley
2927626149,205,1005,-522,Forehand Drive Volley
2927626159,247,971,-514,Forehand Drive Volley
2927626169,272,977,-540,Forehand Drive Volley
2927626179,303,944,-517,Forehand Drive Volley
2927626189,356,970,-470,Forehand Drive Volley
2927626203,375,1137,-441,Forehand Drive Volley
2927626213,380,1264,-399,Forehand Drive Volley
2927626223,350,1304,-416,Forehand Drive Volley
2927626233,332,1286,-465,Forehand Drive Volley
2927626243,305,1204,-449,Forehand Drive Volley
2927626253,272,1129,-454,Forehand Drive Volley
2927626263,241,1167,-380,Forehand Drive Volley
2927626273,197,1234,-324,Forehand Drive Volley
2927626283,229,1326,-305,Forehand Drive Volley
2927626293,266,1399,-292,Forehand Drive Volley
2927626303,326,1396,-348,Forehand Drive Volley
2927626313,386,1317,-389,Forehand Drive Volley
2927626323,394,1244,-422,Forehand Drive Volley
2927626333,363,1212,-430,Forehand Drive Volley
2927626343,302,1107,-391,Forehand Drive Volley
2927626353,250,1081,-339,Forehand Drive Volley
2927626363,255,1113,-248,Forehand Drive Volley
2927626373,286,1165,-203,Forehand Drive Volley
2927626383,319,1193,-174,Forehand Drive Volley
2927626393,344,1192,-129,Forehand Drive Volley
2927626403,323,1169,-137,Forehand Drive Volley
2927626413,293,1133,-112,Forehand Drive Volley
2927626423,290,1063,-119,Forehand Drive Volley
2927626433,295,997,-129,Forehand Drive Volley
2927626443,325,973,-127,Forehand Drive Volley
2927626453,348,952,-109,Forehand Drive Volley
2927626463,357,947,-108,Forehand Drive Volley
2927626473,375,956,-95,Forehand Drive Volley
2927626483,397,990,-93,Forehand Drive Volley
2927626493,417,1048,-86,Forehand Drive Volley
2927626503,439,1042,-104,Forehand Drive Volley
2927626513,442,1030,-96,Forehand Drive Volley
2927626523,432,994,-103,Forehand Drive Volley
2927626533,423,978,-130,Forehand Drive Volley
2927626543,429,953,-157,Forehand Drive Volley
2927626553,438,918,-193,Forehand Drive Volley
2927626563,434,916,-194,Forehand Drive Volley
2927626573,417,905,-190,Forehand Drive Volley
2927626583,414,900,-183,Forehand Drive Volley
2927626593,407,897,-180,Forehand Drive Volley
2927626603,404,858,-164,Forehand Drive Volley
2927626613,405,819,-191,Forehand Drive Volley
2927626623,405,831,-188,Forehand Drive Volley
2927626633,402,861,-181,Forehand Drive Volley
2927626643,389,888,-183,Forehand Drive Volley
2927626653,403,900,-242,Forehand Drive Volley
2927626663,408,903,-319,Forehand Drive Volley
2927626673,414,900,-268,Forehand Drive Volley
2927626683,399,872,-207,Forehand Drive Volley
2927626693,383,852,-189,Forehand Drive Volley
2927626707,391,847,-162,Forehand Drive Volley
2927626717,387,862,-157,Forehand Drive Volley
2927626727,378,877,-146,Forehand Drive Volley
2927626737,359,890,-162,Forehand Drive Volley
2927626747,333,913,-229,Forehand Drive Volley
2927626757,354,917,-275,Forehand Drive Volley
2927626767,324,961,-234,Forehand Drive Volley
2927626777,378,867,-235,Forehand Drive Volley
2927626787,409,769,-246,Forehand Drive Volley
2927626797,420,751,-207,Forehand Drive Volley
2927626807,367,634,-152,Forehand Drive Volley
2927626817,302,672,-39,Forehand Drive Volley
2927626827,318,589,-39,Forehand Drive Volley
2927626837,340,532,-38,Forehand Drive Volley
2927626847,380,678,-182,Forehand Drive Volley
2927626857,379,768,-348,Forehand Drive Volley
2927626867,380,656,-376,Forehand Drive Volley
2927626877,396,449,-291,Forehand Drive Volley
2927626887,381,341,-299,Forehand Drive Volley
2927626897,342,345,-346,Forehand Drive Volley
2927626907,329,365,-330,Forehand Drive Volley
2927626917,330,492,-290,Forehand Drive Volley
2927626927,361,438,-249,Forehand Drive Volley
2927626937,365,357,-308,Forehand Drive Volley
2927626947,356,443,-397,Forehand Drive Volley
2927626957,426,494,-419,Forehand Drive Volley
2927626967,472,518,-430,Forehand Drive Volley
2927626977,450,543,-505,Forehand Drive Volley
2927626987,431,672,-603,Forehand Drive Volley
2927626997,532,679,-689,Forehand Drive Volley
2927627007,583,776,-755,Forehand Drive Volley
2927627017,617,802,-744,Forehand Drive Volley
2927627027,665,827,-756,Forehand Drive Volley
2927627037,720,829,-758,Forehand Drive Volley
2927627047,785,857,-787,Forehand Drive Volley
2927627057,820,894,-785,Forehand Drive Volley
2927627067,924,826,-774,Forehand Drive Volley
2927627077,877,820,-854,Forehand Drive Volley
2927627087,868,733,-951,Forehand Drive Volley
2927627097,851,841,-956,Forehand Drive Volley
2927627107,825,967,-855,Forehand Drive Volley
2927627117,836,1062,-734,Forehand Drive Volley
2927627127,796,1152,-631,Forehand Drive Volley
2927627137,819,1098,-528,Forehand Drive Volley
2927627147,716,971,-493,Forehand Drive Volley
2927627157,666,734,-531,Forehand Drive Volley
2927627167,582,682,-518,Forehand Drive Volley
2927627177,546,680,-550,Forehand Drive Volley
2927627187,536,693,-527,Forehand Drive Volley
2927627197,541,584,-563,Forehand Drive Volley
2927627211,536,575,-549,Forehand Drive Volley
2927627221,465,437,-542,Forehand Drive Volley
2927627231,389,357,-451,Forehand Drive Volley
2927627241,429,333,-441,Forehand Drive Volley
2927627251,436,272,-407,Forehand Drive Volley
2927627261,473,141,-416,Forehand Drive Volley
2927627271,468,93,-415,Forehand Drive Volley
2927627281,512,88,-366,Forehand Drive Volley
2927627291,468,122,-257,Forehand Drive Volley
2927627301,450,137,-150,Forehand Drive Volley
2927627311,449,100,-85,Forehand Drive Volley
2927627321,447,56,-79,Forehand Drive Volley
2927627331,460,108,-127,Forehand Drive Volley
2927627341,480,233,-205,Forehand Drive Volley
2927627351,473,285,-218,Forehand Drive Volley
2927627361,465,300,-163,Forehand Drive Volley
2927627371,464,257,-124,Forehand Drive Volley
2927627381,530,324,-131,Forehand Drive Volley
2927627391,674,480,-288,Forehand Drive Volley
2927627401,755,729,-410,Forehand Drive Volley
